username,postsCount,followersCount,followsCount,private,verified,account
urmil_a9666,0,2189,5273,0,0,0
_prince_.533,5,988,4482,1,0,0
maloohh_,0,120,2898,1,0,0
east12221,1,17,148,1,0,0
allinfluentialstars,0,140,5330,0,0,0
ganeriwalshashikanth,404,374,3213,1,0,0
chinnasupriya,0,320,1873,1,0,0
ku_shal6854,0,54,1333,1,0,0
jaffabharma,0,5,327,0,0,0
crisslynn76,0,63,3335,0,0,0
sadiq.ulla.3781,0,124,4865,0,0,0
m.r_saii,0,12,611,0,0,0
hafeezshaik1671,0,52,2239,0,0,0
kumarsetty0,0,0,735,1,0,0
rockeyyy72,0,7,742,1,0,0
madhu.9872,61,176,601,1,0,0
geroi586tttggg,0,0,1,0,0,0
santivarla,20,98,1001,1,0,0
shamalashree.queen,0,0,595,1,0,0
dilsedhanush6,0,4,86,1,0,0
aambikafasion,0,376,6584,1,0,0
sujata_14351,1,114,1527,1,0,0
karuz_kaaru,0,14,777,0,0,0
bheemla84,0,0,3151,1,0,0
baby_11357,0,0,695,1,0,0
viraj.mehta_9,0,1,1630,1,0,0
moh99999415,0,85,5868,0,0,0
bankutty_1995,0,14,1374,0,0,0
venkatasubramanian143,0,15,1246,0,0,0
anonymous_69love,0,25,1588,1,0,0
pryt3546,0,28,4887,1,0,0
liyahashi,0,21,1602,1,0,0
bitch1235677_,0,1,171,1,0,0
actress143cr,0,6,137,0,0,0
alihasankhan2244hfdhtut,74,283,5866,0,0,0
